"","SP","country","reef","richness","biomass"
"1",192.6006922,"Bahamas","1",12,128.3743703
"2",273.6408756,"Bahamas","1",15,100.2455548
"3",139.6775508,"Bahamas","1",9,107.1358426
"4",142.6183158,"Bahamas","1",9,119.5574256
"5",168.4197684,"Bahamas","1",8,213.9580235
"6",363.7030843,"Bahamas","1",11,396.0600033
"7",413.8064836,"Bahamas","1",13,485.4509637
"8",657.2172759,"Bahamas","1",16,520.3550301
"9",262.0528576,"Bahamas","10",13,149.0265891
"10",215.3411894,"Bahamas","10",9,125.4927272
"11",218.4992945,"Bahamas","10",15,108.9883732
"12",187.3685426,"Bahamas","10",12,159.2180412
"13",255.6491987,"Bahamas","10",13,123.5872311
"14",1061.596828,"Bahamas","10",12,935.6252459
"15",848.6830675,"Bahamas","10",19,691.9384468
"16",1119.614754,"Bahamas","10",16,1133.656008
"17",322.4937268,"Bahamas","11",12,180.5491448
"18",405.7726512,"Bahamas","11",13,262.7268118
"19",221.8269483,"Bahamas","11",11,103.8830638
"20",313.5649394,"Bahamas","11",7,237.9432185
"21",224.8589802,"Bahamas","11",13,161.5056071
"22",1105.558653,"Bahamas","11",13,748.1950896
"23",338.1715504,"Bahamas","11",14,217.6452846
"24",1155.73281,"Bahamas","11",15,1138.161136
"25",237.6001947,"Bahamas","13",12,156.6970174
"26",383.7351284,"Bahamas","13",9,290.8559749
"27",238.188746,"Bahamas","13",10,186.6000699
"28",125.4240258,"Bahamas","13",9,76.5895984
"29",140.9959323,"Bahamas","13",11,62.61010011
"30",463.0553031,"Bahamas","13",8,315.2718657
"31",1059.356408,"Bahamas","13",12,401.3801962
"32",536.7160714,"Bahamas","13",12,294.3469721
"33",163.3420376,"Bahamas","14",10,60.7809614
"34",184.3449789,"Bahamas","14",8,83.55465893
"35",62.60281904,"Bahamas","14",10,68.92441133
"36",195.2293492,"Bahamas","14",10,82.6020502
"37",96.44799387,"Bahamas","14",9,49.91241037
"38",176.8873376,"Bahamas","14",8,70.7235013
"39",235.171392,"Bahamas","17",8,136.998001
"40",27.62543726,"Bahamas","17",4,12.64885164
"41",24.40466704,"Bahamas","17",3,19.12413445
"42",97.31387636,"Bahamas","17",5,57.65484101
"43",107.0337371,"Bahamas","17",8,54.11168822
"44",196.0919215,"Bahamas","17",8,63.67083812
"45",515.9830184,"Bahamas","17",16,320.7643073
"46",218.2210846,"Bahamas","18",10,139.6257768
"47",423.7566912,"Bahamas","18",12,526.1703315
"48",567.1962097,"Bahamas","18",10,396.8905974
"49",375.4812188,"Bahamas","18",13,440.2033494
"50",84.14849464,"Bahamas","18",8,39.04297564
"51",418.8734114,"Bahamas","18",8,605.1620565
"52",468.9780849,"Bahamas","18",13,292.009221
"53",273.8009265,"Bahamas","18",15,163.7103737
"54",125.7590628,"Bahamas","19",6,149.8389009
"55",115.2551339,"Bahamas","19",5,62.22362108
"56",189.5163129,"Bahamas","19",8,87.04743465
"57",44.08500164,"Bahamas","19",8,27.40092975
"58",94.7295672,"Bahamas","19",8,45.14041879
"59",255.1569612,"Bahamas","19",9,77.81069157
"60",473.789108,"Bahamas","19",12,232.538848
"61",26.81145604,"Bahamas","1a",3,10.83321002
"62",38.5927369,"Bahamas","1a",5.5,7.337609399
"63",39.72509478,"Bahamas","1a",6,45.27975937
"64",59.29424011,"Bahamas","1a",6,19.66277601
"65",76.35925449,"Bahamas","1a",9,45.9590122
"66",277.714735,"Bahamas","1b",8,201.2605604
"67",283.15161,"Bahamas","1b",11.25,156.7871973
"68",163.559123,"Bahamas","1b",8,97.45949907
"69",380.2348303,"Bahamas","1b",13,211.6666658
"70",191.1875706,"Bahamas","1b",9,97.09796505
"71",9.869497863,"Bahamas","1c",5,7.013796121
"72",45.54942883,"Bahamas","1c",6.25,25.29341175
"73",27.32965624,"Bahamas","1c",7,7.405537008
"74",53.94177183,"Bahamas","1c",4,30.99130389
"75",46.58626799,"Bahamas","1c",9,15.88517202
"76",321.0866345,"Bahamas","1d",9,221.8977837
"77",168.4199094,"Bahamas","1d",8.5,60.53407942
"78",404.6208441,"Bahamas","1d",11,274.0422665
"79",238.8078203,"Bahamas","1d",10,132.9694362
"80",173.6519216,"Bahamas","1d",3,124.7753947
"81",492.0105434,"Bahamas","2",11,302.6216687
"82",36.98397672,"Bahamas","2",5,28.30528063
"83",63.96459477,"Bahamas","2",6,57.46176991
"84",373.3903185,"Bahamas","2",13,155.9315285
"85",289.6562391,"Bahamas","2",8,166.7017065
"86",374.3770878,"Bahamas","2",14,166.6986239
"87",260.7208556,"Bahamas","2",12,170.0160655
"88",198.1333312,"Bahamas","20",13,108.4131075
"89",457.7803024,"Bahamas","20",11,254.1025071
"90",283.8464003,"Bahamas","20",11,97.05553777
"91",189.4630663,"Bahamas","20",10,110.1789287
"92",47.61884535,"Bahamas","20",6,17.57049767
"93",810.4889067,"Bahamas","20",10,571.2124011
"94",272.7605294,"Bahamas","20",14,164.9124731
"95",271.5810154,"Bahamas","20",16,141.1573175
"96",28.75587622,"Bahamas","2a",5,12.07333248
"97",58.88618608,"Bahamas","2a",6.75,44.38419184
"98",47.38483514,"Bahamas","2a",8,49.0256642
"99",35.49463181,"Bahamas","2a",5,11.23083567
"100",68.20582827,"Bahamas","2a",8,39.05086146
"101",367.6070224,"Bahamas","2b",10,240.8323457
"102",655.2837476,"Bahamas","2b",9.5,347.5856741
"103",1131.69242,"Bahamas","2b",9,1142.208378
"104",349.8824045,"Bahamas","2b",9,226.8874984
"105",974.1199632,"Bahamas","2b",10,919.9574244
"106",127.9918268,"Bahamas","2c",5,72.29445156
"107",118.5024332,"Bahamas","2c",11.25,82.66110029
"108",76.36916003,"Bahamas","2c",8,67.42973512
"109",34.85841393,"Bahamas","2c",4,16.21433908
"110",91.15366129,"Bahamas","2c",10,31.79773525
"111",588.2590032,"Bahamas","2d",16,416.3606902
"112",253.4094387,"Bahamas","2d",6,148.4016004
"113",115.3875028,"Bahamas","2d",7,177.5812216
"114",690.7517342,"Bahamas","2d",13,464.5872291
"115",149.0898844,"Bahamas","2d",8,196.6821112
"116",173.6160093,"Bahamas","3a",7,95.70917398
"117",75.9139546,"Bahamas","3a",9,41.27691463
"118",104.2864005,"Bahamas","3a",7,52.00843203
"119",203.5403415,"Bahamas","3a",8,103.1214434
"120",88.77560483,"Bahamas","3a",8,54.66054156
"121",346.7897085,"Bahamas","3b",9,276.1973435
"122",219.6629968,"Bahamas","3b",6.5,146.9997997
"123",337.8419458,"Bahamas","3b",6,397.9853687
"124",359.2775232,"Bahamas","3b",9,269.4087968
"125",448.0717313,"Bahamas","3b",10,441.6278198
"126",126.991289,"Bahamas","3c",6,88.48062243
"127",66.54303932,"Bahamas","3c",11,33.12154339
"128",25.93813941,"Bahamas","3c",5,20.07293769
"129",93.95227578,"Bahamas","3c",10,93.28826237
"130",210.2163213,"Bahamas","3d",10,217.569736
"131",176.2616572,"Bahamas","3d",7.25,112.0653718
"132",596.7110596,"Bahamas","3d",8,736.6288564
"133",204.2272582,"Bahamas","3d",12,179.9788418
"134",667.8924236,"Bahamas","3d",10,741.4270001
"135",353.2924186,"Bahamas","4",9,383.7733734
"136",228.5850686,"Bahamas","4",6,215.6175936
"137",135.6895723,"Bahamas","4",6,49.06891311
"138",51.48777975,"Bahamas","4",3,23.74326629
"139",172.9871806,"Bahamas","4",7,89.69470742
"140",403.7394168,"Bahamas","4",6,136.8375184
"141",388.2333565,"Bahamas","4",14,224.6354246
"142",39.68223972,"Bahamas","4a",5,18.38382703
"143",44.06127513,"Bahamas","4a",5,75.60977274
"144",44.74494714,"Bahamas","4a",5,44.64035745
"145",24.58236178,"Bahamas","4a",5,10.33744012
"146",75.004688,"Bahamas","4a",10,22.39767938
"147",840.7286511,"Bahamas","4b",11,669.5928414
"148",680.5115597,"Bahamas","4b",5.25,428.6106838
"149",615.9213776,"Bahamas","4b",5,715.5198698
"150",261.2840335,"Bahamas","4b",7,194.7549379
"151",863.9590473,"Bahamas","4b",9,1534.964231
"152",145.5128664,"Bahamas","4c",6,78.10079018
"153",55.55064515,"Bahamas","4c",8.75,31.30532942
"154",54.54287196,"Bahamas","4c",5,59.64539218
"155",63.72479797,"Bahamas","4c",4,34.60854037
"156",172.4368454,"Bahamas","4c",8,78.33350439
"157",612.9404779,"Bahamas","4d",12,464.1566424
"158",261.8900671,"Bahamas","4d",10.875,192.6089324
"159",168.6005162,"Bahamas","4d",10,203.6385483
"160",335.0339111,"Bahamas","4d",10,249.0735964
"161",230.6537133,"Bahamas","4d",13,272.9995792
"162",174.980379,"Bahamas","5",12,92.69623207
"163",641.4985164,"Bahamas","5",13,475.5847357
"164",179.6553971,"Bahamas","5",10,79.53489435
"165",279.271307,"Bahamas","5",12,163.9229487
"166",32.82260895,"Bahamas","5",5,11.47269935
"167",227.421408,"Bahamas","5",11,220.4029348
"168",599.5090475,"Bahamas","5",16,205.618537
"169",718.9396702,"Bahamas","5",18,422.1875423
"170",156.896521,"Bahamas","6",8,110.0364005
"171",151.9147026,"Bahamas","6",7,126.0798135
"172",30.87486491,"Bahamas","6",5,12.56343809
"173",24.50858076,"Bahamas","6",3,16.45378361
"174",100.9948594,"Bahamas","6",7,51.94703926
"175",111.4933458,"Bahamas","6",8,47.27414927
"176",365.5389308,"Bahamas","6",9,224.5044541
"177",266.6403452,"Bahamas","8",11,163.2701777
"178",861.0140595,"Bahamas","8",13,685.8743431
"179",421.8804725,"Bahamas","8",13,131.5169498
"180",313.2508707,"Bahamas","8",14,108.3364289
"181",242.2871663,"Bahamas","8",9,102.6796515
"182",697.9161645,"Bahamas","8",11,544.9548136
"183",708.054887,"Bahamas","8",16,383.1567733
"184",859.725394,"Bahamas","8",17,743.0310386
"185",77.99238453,"Bahamas","9",7,41.70379202
"186",351.5322046,"Bahamas","9",11,297.8240095
"187",184.587267,"Bahamas","9",8,81.68624184
"188",270.0923446,"Bahamas","9",7,209.1526085
"189",97.59883576,"Bahamas","9",9,76.18867673
"190",537.2615054,"Bahamas","9",12,425.5840582
"191",366.6495772,"Bahamas","9",12,190.3696906
"192",402.3840508,"Bahamas","9",16,272.3064273
"193",1801.71341,"Bahamas","ES",10,1813.187305
"194",421.8613205,"Bahamas","ES",11,434.831643
"195",397.770009,"Haiti","H1",12,281.1670592
"196",560.9260621,"Haiti","H1",17,333.4259121
"197",593.8131069,"Haiti","H2",14,347.5071174
"198",1367.718866,"Haiti","H2",17,849.3962439
"199",705.8887089,"Haiti","H3",19,302.6798842
"200",2309.693041,"Haiti","H3",14,1820.931907
"201",341.4383604,"Haiti","H4",13,215.0894381
"202",1222.146048,"Haiti","H4",15,916.8842444
"203",694.8073124,"Haiti","H5",12,356.5401413
"204",438.2925277,"Haiti","H5",10,250.6847092
"205",1197.531853,"Haiti","H6",8,712.571655
"206",993.8233501,"Haiti","H6",12,587.5679201
"207",679.6577367,"Haiti","H7",12,339.484225
"208",1036.861737,"Haiti","H8",14,392.6742079
"209",178.0178052,"Haiti","H8",7,56.7290871
"210",414.1250886,"Haiti","HCR2",10,275.9949566
"211",275.4512448,"Haiti","HCR2",11,102.6110982
"212",260.6658275,"Haiti","HCR2",7,151.6463733
"213",423.6333425,"Bahamas","LH1",7,725.6159211
"214",364.140413,"Bahamas","LH1",9,408.5674966
"215",339.4119741,"Bahamas","LH1",10,240.705533
"216",332.5310059,"Bahamas","LH1",8.5,233.8110196
"217",349.4304357,"Bahamas","LH1",5.5,429.370861
"218",672.9317486,"Bahamas","LH1",12,366.4466906
"219",286.9204325,"Bahamas","LH1",8.666666667,247.8247019
"220",188.3578722,"Bahamas","LH1",5,227.1638802
"221",189.2745653,"Bahamas","LH1",10,154.4357033
"222",245.0228529,"Bahamas","LH1",6,255.7069978
"223",292.9152022,"Bahamas","LH2",10,294.0662704
"224",412.2486691,"Bahamas","LH2",9,408.9324766
"225",329.3240177,"Bahamas","LH2",9,329.5726934
"226",414.1082479,"Bahamas","LH2",7,1171.986395
"227",252.6079449,"Bahamas","LH2",10,1065.13273
"228",435.5027487,"Bahamas","LH2",11,388.4260341
"229",487.4838526,"Bahamas","LH2",13,556.2500588
"230",123.4578065,"Bahamas","LH3",6,173.7692948
"231",244.3194944,"Bahamas","LH3",6,310.6500358
"232",337.3387627,"Bahamas","LH3",12,383.6444418
"233",196.3904686,"Bahamas","LH3",8,1746.143373
"234",243.6580564,"Bahamas","LH3",8,832.388494
"235",325.7660818,"Bahamas","LH3",10.33333333,312.0488479
"236",194.483396,"Bahamas","LH3",8,232.5565462
"237",399.2446321,"Bahamas","LH4",11,536.8705449
"238",455.5835299,"Bahamas","LH4",9.5,495.6268378
"239",234.0696273,"Bahamas","LH4",10,220.9282748
"240",222.633334,"Bahamas","LH4",11.5,143.7053661
"241",815.2905689,"Bahamas","LH4",12.75,1117.00721
"242",593.5141941,"Bahamas","LH4",13,608.1674607
"243",554.0606737,"Bahamas","LH4",13,792.7982012
"244",584.3231023,"Bahamas","LH4",11,843.1148344
"245",790.1077627,"Bahamas","LH4",13,912.037888
"246",451.7108027,"Bahamas","LH5",11,416.8135736
"247",465.8651321,"Bahamas","LH5",13,503.3016787
"248",454.9307295,"Bahamas","LH5",11,447.018491
"249",378.183192,"Bahamas","LH5",11.5,290.709825
"250",464.1955463,"Bahamas","LH5",12.33333333,474.5573655
"251",453.7371823,"Bahamas","LH5",10,470.5885312
"252",381.1576444,"Bahamas","LH5",12,405.4762299
"253",710.1280878,"Bahamas","LH5",16,778.5553366
"254",403.850215,"Bahamas","LH5",13,329.4754469
"255",523.8975759,"Bahamas","LH6",14,967.8955158
"256",670.0832642,"Bahamas","LH6",10,858.4926499
"257",688.7092358,"Bahamas","LH6",11,1004.970701
"258",548.0809574,"Bahamas","LH6",11,721.2214928
"259",536.472996,"Bahamas","LH6",9.666666667,679.3720049
"260",893.5929993,"Bahamas","LH6",11,816.7115861
"261",405.4053859,"Bahamas","MOW1",10,423.1088
"262",191.9892005,"Bahamas","MOW2",6,164.5330132
"263",74.859506,"Bahamas","MOW3",8,177.5530311
"264",1140.804363,"Bahamas","SC",14,2143.405497
"265",1000.515427,"Bahamas","SC",10,2112.78979
